name,cwe_id
blueimp-file-upload,CWE-434
bmoor,CWE-1321
bmoor,CWE-1321
bootbox,CWE-79
bootbox,CWE-64
bootstrap,CWE-79
bootstrap,CWE-79
bootstrap,CWE-79
bootstrap,CWE-79
bootstrap,CWE-79
bootstrap,CWE-79
bootstrap-select,CWE-79
bootstrap-select,CWE-79
bootstrap-table,CWE-79
bootstrap-table,CWE-843
bootstrap-table,CWE-79
bootstrap-vue,CWE-79
botframework-connector,CWE-200
botframework-connector,CWE-287
bower,CWE-22
bpmn-js-properties-panel,CWE-79
brace-expansion,CWE-1333
braces,CWE-400
braces,CWE-400
braces,CWE-185
braft-editor,CWE-79
browserify-hmr,CWE-200
browserslist,CWE-400
browserslist,CWE-1333
bson,CWE-502
bson,CWE-400
bson,CWE-185
bson,CWE-502
buefy,CWE-79
buns,CWE-78
buns,CWE-77
buttercms,CWE-434
byte,CWE-125
c3,CWE-79
cacheable-request,CWE-1333
calipso,CWE-668
calipso,CWE-29
call,CWE-20
canvas,CWE-120
capfb,CWE-506
casperjs,CWE-1321
casperjs,CWE-915
cassproject,CWE-325
cd-messenger,CWE-94
centra,CWE-119
cezerin,CWE-20
changeset,CWE-1321
chart.js,CWE-1321
chart.js,CWE-915
chownr,CWE-367
chrome-launcher,CWE-78
chromedriver,CWE-311
chromedriver126,CWE-311
chrono-node,CWE-400
ckeditor-dev,CWE-79
clamscan,CWE-78
clamscan,CWE-74
class-transformer,CWE-915
class-transformer,CWE-1321
class-validator,CWE-79
class-validator,CWE-89
clean-css,CWE-1333
cli,CWE-22
cli,CWE-22
closure-compiler-stream,CWE-78
closure-util,CWE-311
closurecompiler,CWE-311
cloudcmd,CWE-79
cmmn-js-properties-panel,CWE-79
cobalt-cli,CWE-269
cobalt-cli,CWE-311
code-server,CWE-1385
code-server,CWE-346
code-server,CWE-79
code-server,CWE-1333
codecov,CWE-74
codecov,CWE-78
codecov,CWE-78
codem-transcode,CWE-77
codemirror,CWE-400
collection.js,CWE-1321
color-string,CWE-770
comb,CWE-1321
command-exists,CWE-77
compile-sass,CWE-78
component-flatten,CWE-74
concat-stream,CWE-200
conf-cfg-ini,CWE-1321
config-handler,CWE-913
config-shield,CWE-913
connect,CWE-79
connect,CWE-79
connect,CWE-79
connection-tester,CWE-78
console-feed,CWE-79
console-io,CWE-287
content,CWE-400
converse.js,CWE-346
converse.js,CWE-20
converse.js,CWE-200
convict,CWE-1321
convict,CWE-1321
cookiejar,CWE-1333
copy-props,CWE-1321
cordova-android,CWE-532
cordova-plugin-inappbrowser,CWE-79
critters,CWE-79
critters,CWE-80
critters,CWE-116
cross-fetch,CWE-359
cross-fetch,CWE-863
cruddl,CWE-74
crumb,CWE-284
cryptiles,CWE-331
crypto-js,CWE-330
csrf-lite,CWE-208
css-what,CWE-400
css-what,CWE-400
csv-parse,CWE-400
csv-parse,CWE-20
cue-sdk-node,CWE-311
curly-bracket-parser,CWE-79
cyberchef,CWE-79
cycle-import-check,CWE-77
d3-color,CWE-400
dalek-browser-chrome-canary,CWE-311
dalek-browser-ie,CWE-311
dalek-browser-ie-canary,CWE-311
dat.gui,CWE-400
datatables.net,CWE-79
datatables.net,CWE-1321
date-and-time,CWE-400
debug,CWE-1333
debug,CWE-400
decal,CWE-1321
decal,CWE-400
decal,CWE-400
decal,CWE-1321
decal,CWE-94
decamelize,CWE-400
decode-uri-component,CWE-20
decompress,CWE-59
decompress,CWE-22
deep-extend,CWE-20
deeply,CWE-400
deepmerge-ts,CWE-915
deepmerge-ts,CWE-1321
deeps,CWE-1321
deobfuscator,CWE-1321
detect-character-encoding,CWE-755
detect-character-encoding,CWE-401
devcert,CWE-1333
devcert,CWE-74
devcert,CWE-77
devcert,CWE-78
dexie,CWE-1321
diagram-js,CWE-79
diagram-js-direct-editing,CWE-79
dicer,CWE-248
diff,CWE-400
dijit,CWE-79
dijit,CWE-79
directus,CWE-400
directus,CWE-79
directus,CWE-755
directus,CWE-79
directus,CWE-918
directus,CWE-200
directus,CWE-863
directus,CWE-755
directus,CWE-200
directus,CWE-532
directus,CWE-284
directus,CWE-918
diskusage-ng,CWE-78
dmn-js-properties-panel,CWE-79
dns-packet,CWE-200
dns-packet,CWE-908
doc-path,CWE-1321
docker-cli-js,CWE-78
docsify,CWE-79
docsify,CWE-79
docsify,CWE-79
dojo,CWE-1321
dojo,CWE-1321
dojo,CWE-79
dojo,CWE-79
dojo,CWE-79
dojo,CWE-74
dojo,CWE-94
dojox,CWE-94
dojox,CWE-116
dojox,CWE-79
dompurify,CWE-79
dompurify,CWE-79
dompurify,CWE-79
dot,CWE-77
dot,CWE-94
dot-notes,CWE-1321
dot-object,CWE-74
dottie,CWE-1321
droppy,CWE-352
droppy,CWE-22
dset,CWE-1321
dustjs-linkedin,CWE-94
dustjs-linkedin,CWE-1321
dustjs-linkedin,CWE-74
dynamoose,CWE-1321
dynamoose,CWE-915
eco,CWE-79
ecstatic,CWE-400
ecstatic,CWE-400
ecstatic,CWE-400
ecstatic,CWE-601
edge.js,CWE-79
edge.js,CWE-843
egg-scripts,CWE-78
egg-scripts,CWE-77
ejs,CWE-20
ejs,CWE-79
ejs,CWE-74
ejs,CWE-20
electron,CWE-862
electron,CWE-94
electron,CWE-522
electron,CWE-754
electron,CWE-787
electron,CWE-94
electron,CWE-668
electron,CWE-501
electron,CWE-693
electron,CWE-426
electron,CWE-501
electron,CWE-290
electron,CWE-668
electron,CWE-345
electron,CWE-693
electron,CWE-78
electron,CWE-20
